Match ID,Turnaus,Joukkue1,Joukkue2,Kartta,T1 Score,T2 Score,T1 FH,T1 SH,T2 FH,T2 SH,T1 Clutches,T2 Clutches,T1 FK,T2 FK,T1 Rating,T2 Rating,Tyyppi,Päiväys,MapNro,Voittaja,Team1,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Team2,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Voittaja,T1 Tapot,T2 Tapot,Tapot Yht,T1 K/R,T2 K/R,T1 Taso,T2 Taso,Ott Taso,Turnaus Taso,Turnaus Tyyppi,Total Rounds
22323,IEM Sydney 2023,Monte,Grayhound,Nuke,13,5,8,5,4,1,1,3,12,6,1.46,0.74,LAN,10/17/2023,Map1,1,Monte,kRaSnaL,22323,19 - 11,1.73,121.4,3,1.75,DemQQ,22323,19 - 8,2.38,110.4,2,1.72,sdy,22323,19 - 10,1.9,97.4,0,1.66,br0,22323,15 - 9,1.67,83.6,2,1.35,Woro2k,22323,9 - 12,0.75,48.3,-1,0.83,Grayhound,INS,22323,13 - 16,0.81,79,0,1.08,aliStair,22323,13 - 15,0.87,78.7,-1,0.93,Liazz,22323,10 - 15,0.67,71.6,-1,0.88,Sico,22323,6 - 17,0.35,46.1,-3,0.41,Vexite,22323,7 - 18,0.39,33.6,-1,0.4,1,81,49,130,4.5,2.72,2,5,7,26,Large,18
22324,IEM Sydney 2023,Monte,Grayhound,Anubis,13,11,7,6,5,6,1,2,11,13,1.15,0.96,LAN,10/17/2023,Map2,1,Monte,kRaSnaL,22324,19 - 17,1.12,95.4,2,1.38,br0,22324,21 - 14,1.5,74.2,0,1.21,Woro2k,22324,17 - 12,1.42,64.6,0,1.17,DemQQ,22324,12 - 14,0.86,64.8,-1,1.03,sdy,22324,13 - 15,0.87,66.8,-3,0.95,Grayhound,aliStair,22324,23 - 15,1.53,102.4,3,1.52,Sico,22324,16 - 17,0.94,57.4,-2,0.95,Liazz,22324,13 - 15,0.87,56.8,2,0.91,INS,22324,9 - 18,0.5,66.2,0,0.73,Vexite,22324,11 - 18,0.61,48.3,-1,0.7,1,82,72,154,3.42,3,2,5,7,26,Large,24
22325,IEM Sydney 2023,Lynn Vision,Cloud9,Anubis,11,13,6,5,6,7,1,3,11,13,0.98,1.22,LAN,10/17/2023,Map1,2,Lynn Vision,Westmelon,22325,18 - 17,1.06,77.2,0,1.15,z4kr,22325,18 - 19,0.95,82.8,0,1.13,Jee,22325,17 - 18,0.94,71.8,-1,0.89,Starry,22325,12 - 17,0.71,63.7,-1,0.87,EmiliaQAQ,22325,11 - 18,0.61,56.8,0,0.87,Cloud9,electroNic,22325,24 - 13,1.85,113.3,2,1.68,sh1ro,22325,19 - 15,1.27,65.5,1,1.26,HObbit,22325,18 - 16,1.13,80.6,3,1.25,Perfecto,22325,17 - 14,1.21,72.8,0,1.23,Ax1Le,22325,10 - 18,0.56,54.2,-4,0.67,2,76,88,164,3.17,3.67,4,5,9,26,Large,24
22326,IEM Sydney 2023,Lynn Vision,Cloud9,Ancient,8,13,7,1,5,8,2,0,8,13,0.79,1.31,LAN,10/17/2023,Map2,2,Lynn Vision,z4kr,22326,17 - 16,1.06,70.2,0,0.99,Starry,22326,16 - 18,0.89,86.1,-1,0.97,EmiliaQAQ,22326,14 - 18,0.78,67.1,-1,0.78,Westmelon,22326,9 - 16,0.56,72.2,-2,0.76,Jee,22326,4 - 17,0.24,37.1,-1,0.46,Cloud9,electroNic,22326,27 - 13,2.08,139.6,2,2.03,Perfecto,22326,19 - 10,1.9,89.2,-1,1.28,sh1ro,22326,15 - 10,1.5,73.6,2,1.2,Ax1Le,22326,12 - 13,0.92,58.8,1,1.1,HObbit,22326,12 - 14,0.86,61,1,0.95,2,60,85,145,2.86,4.05,4,5,9,26,Large,21
22327,IEM Sydney 2023,ENCE,fnatic,Overpass,10,13,6,4,6,7,3,0,14,9,0.95,1.15,LAN,10/17/2023,Map1,2,ENCE,NertZ,22327,17 - 15,1.13,84.8,2,1.18,SunPayus,22327,16 - 14,1.14,60.6,2,1.17,Maden,22327,15 - 18,0.83,76.3,0,0.86,Snappi,22327,12 - 16,0.75,58.3,0,0.83,dycha,22327,11 - 19,0.58,56.4,1,0.72,fnatic,dexter,22327,20 - 13,1.54,83.9,0,1.31,afro,22327,15 - 15,1,71.9,4,1.23,roeJ,22327,15 - 14,1.07,78.8,-5,1.13,KRIMZ,22327,16 - 14,1.14,64,-2,1.1,mezii,22327,16 - 15,1.07,74.5,-2,1,2,71,82,153,3.09,3.57,1,5,6,26,Large,23
22328,IEM Sydney 2023,ENCE,fnatic,Anubis,13,10,4,9,8,2,1,1,12,11,1.12,1.07,LAN,10/17/2023,Map2,1,ENCE,SunPayus,22328,21 - 13,1.62,84.9,6,1.47,Maden,22328,21 - 14,1.5,89.5,-1,1.37,NertZ,22328,13 - 17,0.76,74,1,0.96,Snappi,22328,16 - 15,1.07,61.6,-1,0.95,dycha,22328,11 - 21,0.52,79.7,-4,0.82,fnatic,roeJ,22328,20 - 14,1.43,82.7,0,1.29,mezii,22328,19 - 19,1,88.2,0,1.25,afro,22328,12 - 15,0.8,66.7,1,0.96,dexter,22328,15 - 17,0.88,64.6,-3,0.94,KRIMZ,22328,14 - 17,0.82,68.5,1,0.89,1,82,80,162,3.57,3.48,1,5,6,26,Large,23
22329,IEM Sydney 2023,ENCE,fnatic,Vertigo,13,10,7,6,5,5,1,1,15,8,1.04,1.09,LAN,10/17/2023,Map3,1,ENCE,Maden,22329,23 - 18,1.28,124.6,8,1.67,dycha,22329,17 - 15,1.13,72.5,-1,1.12,SunPayus,22329,16 - 14,1.14,64.5,0,1.04,Snappi,22329,11 - 18,0.61,53.7,1,0.72,NertZ,22329,10 - 16,0.63,45.7,-1,0.67,fnatic,KRIMZ,22329,22 - 14,1.57,91.6,0,1.3,afro,22329,16 - 15,1.07,75.5,-4,1.17,dexter,22329,13 - 19,0.68,86.7,-1,1.05,mezii,22329,16 - 14,1.14,80,-1,1.04,roeJ,22329,14 - 15,0.93,61.1,-1,0.92,1,77,81,158,3.35,3.52,1,5,6,26,Large,23
22330,IEM Sydney 2023,Apeks,GamerLegion,Vertigo,8,13,4,4,8,5,1,2,9,11,1.05,1.05,LAN,10/17/2023,Map1,2,Apeks,sense,22330,18 - 14,1.29,95.8,1,1.5,jkaem,22330,16 - 13,1.23,78.5,0,1.15,kyxsan,22330,12 - 14,0.86,63.8,-2,0.96,CacaNito,22330,10 - 17,0.59,77.7,-1,0.87,nawwk,22330,14 - 15,0.93,45.7,0,0.79,GamerLegion,volt,22330,19 - 15,1.27,84,1,1.21,isak,22330,16 - 15,1.07,82.2,2,1.19,Snax,22330,13 - 16,0.81,83.2,2,1.07,acoR,22330,16 - 12,1.33,70.5,-1,1.04,Keoz,22330,9 - 13,0.69,45,-3,0.75,2,70,73,143,3.33,3.48,5,5,10,26,Large,21
22331,IEM Sydney 2023,Apeks,GamerLegion,Overpass,11,13,6,5,6,7,2,2,11,13,0.98,1.2,LAN,10/17/2023,Map2,2,Apeks,jkaem,22331,20 - 19,1.05,87.4,0,1.12,nawwk,22331,19 - 16,1.19,69.8,0,1.07,sense,22331,15 - 16,0.94,71.9,1,1.03,kyxsan,22331,16 - 17,0.94,69,-2,1.01,CacaNito,22331,10 - 23,0.43,58.9,-1,0.69,GamerLegion,volt,22331,28 - 14,2,97.3,0,1.59,acoR,22331,21 - 14,1.5,92.7,3,1.39,Keoz,22331,15 - 18,0.83,76.7,-2,1.09,Snax,22331,14 - 18,0.78,72.5,0,1.04,isak,22331,12 - 17,0.71,72.9,1,0.89,2,80,90,170,3.33,3.75,5,5,10,26,Large,24
22332,IEM Sydney 2023,Natus Vincere,FaZe,Overpass,7,13,5,2,7,6,0,2,11,9,0.93,1.24,LAN,10/17/2023,Map1,2,Natus Vincere,jL,22332,19 - 15,1.27,96.1,4,1.35,b1t,22332,14 - 14,1,75.9,0,1.12,Aleksib,22332,10 - 16,0.63,66.2,-1,0.87,iM,22332,10 - 15,0.67,71.1,0,0.81,B1ad3,22332,5 - 15,0.33,33.2,-1,0.5,FaZe,rain,22332,16 - 10,1.6,93.7,4,1.54,broky,22332,19 - 12,1.58,82.5,-3,1.4,Twistzz,22332,15 - 11,1.36,84.8,2,1.33,ropz,22332,13 - 11,1.18,65.7,-2,1.1,karrigan,22332,12 - 14,0.86,62.4,-3,0.83,2,58,75,133,2.9,3.75,1,5,6,26,Large,20
